"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population"
"GSAMD-24v2-0_20024620_A1",0.978626164364704,0.662588904694168,3515,"🥇 Gold (Excellent)","ALL"
"GDA-8v1-0_A1",0.969155233331804,0.956187766714082,3515,"🥇 Gold (Excellent)","ALL"
"GSA-24v2-0_A1",0.968632129582894,0.972403982930299,3515,"🥇 Gold (Excellent)","ALL"
"GSA-24v3-0_A2",0.965594456935713,1.06657183499289,3515,"🥇 Gold (Excellent)","ALL"
"Axiom_PMDA",0.963621346303859,1.12773826458037,3515,"🥇 Gold (Excellent)","ALL"
"Axiom_APMRA",0.958812462717386,1.27681365576102,3515,"🥇 Gold (Excellent)","ALL"
"Multi-EthnicGlobal_A1",0.955848208140229,1.36870554765292,3515,"🥇 Gold (Excellent)","ALL"
"Multi-EthnicGlobal_D1",0.954664341761116,1.40540540540541,3515,"🥇 Gold (Excellent)","ALL"
"BDCHP-1X10-HUMANHAP240S_11216501_A",0.951562428302666,1.50156472261735,3515,"🥇 Gold (Excellent)","ALL"
"PsychChip_v1-1_15073391_A1",0.948781718900564,1.5877667140825,3515,"🥈 Silver (Good)","ALL"
"HumanCoreExome-12-v1-0-D",0.947634561556463,1.62332859174964,3515,"🥈 Silver (Good)","ALL"
"HumanOmni5Exome-4v1-1_A",0.947616207038958,1.62389758179232,3515,"🥈 Silver (Good)","ALL"
"HumanOmni5Exome-4v1_A",0.946689303904924,1.65263157894737,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni5Exome-4v1-3_A1",0.94481714311935,1.71066856330014,3515,"🥈 Silver (Good)","ALL"
"InfiniumCoreExome-24v1-3_A1",0.944220621300418,1.72916073968706,3515,"🥈 Silver (Good)","ALL"
"InfiniumCoreExome-24v1-2_A1",0.944193089524159,1.73001422475107,3515,"🥈 Silver (Good)","ALL"
"HumanCoreExome-12-v1-1-C",0.943513972376451,1.75106685633001,3515,"🥈 Silver (Good)","ALL"
"InfiniumPsychArray-24v1-2_A1",0.941109530583215,1.82560455192034,3515,"🥈 Silver (Good)","ALL"
"Multi-EthnicAMR-AFR-8v1-0_A1",0.940769972009361,1.83613086770982,3515,"🥈 Silver (Good)","ALL"
"InfiniumPsychArray-24v1-3_A1",0.940650667645574,1.8398293029872,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni2-5Exome-8v1-4_A1",0.939898132427844,1.86315789473684,3515,"🥈 Silver (Good)","ALL"
"HumanOmni25Exome-8v1_A",0.939714587252788,1.86884779516358,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni2-5Exome-8v1-3_A1",0.939659523700271,1.87055476529161,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni2-5Exome-8v1-5_A1",0.939191483503877,1.8850640113798,3515,"🥈 Silver (Good)","ALL"
"HumanOmni2-5Exome-8-v1-1-A",0.938337998439866,1.91152204836415,3515,"🥈 Silver (Good)","ALL"
"GenomeWideSNP_6.na31",0.936465837654293,1.96955903271693,3515,"🥈 Silver (Good)","ALL"
"HumanCoreExome-24v1-0_A",0.936309824255495,1.97439544807966,3515,"🥈 Silver (Good)","ALL"
"InfiniumCoreExome-24v1-1_A",0.935924379387877,1.98634423897582,3515,"🥈 Silver (Good)","ALL"
"HumanOmni5Exome-4v1-2_A",0.934868994631304,2.01906116642959,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni2.5Exome-8v1-2_A",0.934244941036113,2.03840682788051,3515,"🥈 Silver (Good)","ALL"
"GenomeWideSNP_6",0.931968980865416,2.10896159317212,3515,"🥈 Silver (Good)","ALL"
"InfiniumPsychArray-24v1-1_A1",0.931932271830404,2.11009957325747,3515,"🥈 Silver (Good)","ALL"
"Axiom_UKB_WCSG",0.930206947184876,2.16358463726885,3515,"🥈 Silver (Good)","ALL"
"HumanOmni5-4-v1-0-D",0.929913274904786,2.17268847795164,3515,"🥈 Silver (Good)","ALL"
"PsychArray_A",0.929206625980819,2.19459459459459,3515,"🥈 Silver (Good)","ALL"
"HumanOmni2-5-8-v1-0-D",0.928087000412977,2.22930298719772,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni5-4v1-2_A1",0.921626210250998,2.42958748221906,3515,"🥈 Silver (Good)","ALL"
"HumanOmni2-5-8-v1-1-C",0.920084430780526,2.4773826458037,3515,"🥈 Silver (Good)","ALL"
"GenomeWide_6-.58-v2",0.916661313265728,2.58349928876245,3515,"🥈 Silver (Good)","ALL"
"GenomeWideSNP_6.na33",0.916468590831919,2.58947368421053,3515,"🥈 Silver (Good)","ALL"
"BDCHP-1X10-HUMANHAP550_11218540_C",0.914880925067682,2.63869132290185,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni2-5-8v1-4_A1",0.912843573624558,2.70184921763869,3515,"🥈 Silver (Good)","ALL"
"Human1Mv1_C",0.91252236956821,2.71180654338549,3515,"🥈 Silver (Good)","ALL"
"InfiniumOmni2-5-8v1-3_A1",0.912485660533199,2.71294452347084,3515,"🥈 Silver (Good)","ALL"
"humancore-24-v1-0-a",0.911026476391502,2.75817923186344,3515,"🥈 Silver (Good)","ALL"
"HumanCore-12-v1-0-B",0.910521727160097,2.77382645803698,3515,"🥈 Silver (Good)","ALL"
"HumanExome-12v1_A",0.91007204148121,2.7877667140825,3515,"🥈 Silver (Good)","ALL"
"HumanOmni5-4v1-1_A",0.909594824026063,2.80256045519203,3515,"🥈 Silver (Good)","ALL"
"InfiniumCore-24v1-2_A1",0.906291010875052,2.9049786628734,3515,"🥈 Silver (Good)","ALL"
"HumanOmniExpressExome-8-v1-0-B",0.906012057742656,2.91362620997766,2686,"🥈 Silver (Good)","ALL"
