"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population"
"GSAMD-24v2-0_20024620_A1",0.980386740331492,0.588397790055249,362,"🥇 Gold (Excellent)","AMR"
"Axiom_PMDA",0.96731123388582,0.980662983425414,362,"🥇 Gold (Excellent)","AMR"
"GDA-8v1-0_A1",0.966850828729282,0.994475138121547,362,"🥇 Gold (Excellent)","AMR"
"GSA-24v2-0_A1",0.966114180478821,1.01657458563536,362,"🥇 Gold (Excellent)","AMR"
"GSA-24v3-0_A2",0.965009208103131,1.04972375690608,362,"🥇 Gold (Excellent)","AMR"
"Multi-EthnicGlobal_A1",0.964364640883978,1.06906077348066,362,"🥇 Gold (Excellent)","AMR"
"Multi-EthnicGlobal_D1",0.962523020257827,1.12430939226519,362,"🥇 Gold (Excellent)","AMR"
"Axiom_APMRA",0.960681399631676,1.17955801104972,362,"🥇 Gold (Excellent)","AMR"
"HumanOmni5Exome-4v1-1_A",0.9548802946593,1.35359116022099,362,"🥇 Gold (Excellent)","AMR"
"HumanCoreExome-12-v1-0-D",0.954788213627993,1.35635359116022,362,"🥇 Gold (Excellent)","AMR"
"PsychChip_v1-1_15073391_A1",0.954696132596685,1.35911602209945,362,"🥇 Gold (Excellent)","AMR"
"Multi-EthnicAMR-AFR-8v1-0_A1",0.95451197053407,1.3646408839779,362,"🥇 Gold (Excellent)","AMR"
"InfiniumCoreExome-24v1-2_A1",0.954327808471455,1.37016574585635,362,"🥇 Gold (Excellent)","AMR"
"InfiniumCoreExome-24v1-3_A1",0.954327808471455,1.37016574585635,362,"🥇 Gold (Excellent)","AMR"
"HumanOmni5Exome-4v1_A",0.953130755064457,1.4060773480663,362,"🥇 Gold (Excellent)","AMR"
"GenomeWideSNP_6.na31",0.95,1.5,362,"🥇 Gold (Excellent)","AMR"
"GenomeWideSNP_6",0.948342541436464,1.54972375690608,362,"🥈 Silver (Good)","AMR"
"GenomeWideSNP_6.na33",0.947053406998158,1.58839779005525,362,"🥈 Silver (Good)","AMR"
"GenomeWide_6-.58-v2",0.946685082872928,1.59944751381215,362,"🥈 Silver (Good)","AMR"
"HumanCoreExome-12-v1-1-C",0.944106813996317,1.6767955801105,362,"🥈 Silver (Good)","AMR"
"Axiom_UKB_WCSG",0.943278084714549,1.70165745856354,362,"🥈 Silver (Good)","AMR"
"InfiniumPsychArray-24v1-2_A1",0.943001841620626,1.70994475138122,362,"🥈 Silver (Good)","AMR"
"BDCHP-1X10-HUMANHAP240S_11216501_A",0.942449355432781,1.72651933701657,362,"🥈 Silver (Good)","AMR"
"InfiniumPsychArray-24v1-3_A1",0.942357274401473,1.7292817679558,362,"🥈 Silver (Good)","AMR"
"InfiniumOmni2-5Exome-8v1-3_A1",0.942265193370166,1.73204419889503,362,"🥈 Silver (Good)","AMR"
"HumanOmni5-4-v1-0-D",0.941804788213628,1.74585635359116,362,"🥈 Silver (Good)","AMR"
"InfiniumCoreExome-24v1-1_A",0.941436464088398,1.75690607734807,362,"🥈 Silver (Good)","AMR"
"InfiniumOmni2.5Exome-8v1-2_A",0.939502762430939,1.81491712707182,362,"🥈 Silver (Good)","AMR"
"humancore-24-v1-0-a",0.939226519337017,1.8232044198895,362,"🥈 Silver (Good)","AMR"
"InfiniumCore-24v1-2_A1",0.939042357274401,1.82872928176796,362,"🥈 Silver (Good)","AMR"
"HumanCoreExome-24v1-0_A",0.938674033149171,1.83977900552486,362,"🥈 Silver (Good)","AMR"
"InfiniumCore-24v1-1_A1",0.938674033149171,1.83977900552486,362,"🥈 Silver (Good)","AMR"
"HumanCore-12-v1-0-B",0.938121546961326,1.85635359116022,362,"🥈 Silver (Good)","AMR"
