"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population","Mean_Match_Score"
"GSAMD-24v2-0_20024620_A1",0.977194669597472,0.661354581673307,753,"1. High","EAS",0.891434262948207
"GSA-24v2-0_A1",0.964784540000916,1.02124833997344,753,"1. High","EAS",0.858897742363878
"GDA-8v1-0_A1",0.964555570820168,1.02788844621514,753,"1. High","EAS",0.857237715803453
"GSA-24v3-0_A2",0.962082703668086,1.0996015936255,753,"1. High","EAS",0.852921646746348
"Axiom_PMDA",0.960067774877502,1.15803452855246,753,"1. High","EAS",0.841633466135458
"Axiom_APMRA",0.959060310482209,1.18725099601594,753,"1. High","EAS",0.834329349269588
"Multi-EthnicGlobal_A1",0.944177313733571,1.61885790172643,753,"2. Good","EAS",0.796148738379814
"PsychChip_v1-1_15073391_A1",0.942528735632184,1.66666666666667,753,"2. Good","EAS",0.799800796812749
"Multi-EthnicGlobal_D1",0.942162384942987,1.67729083665339,753,"2. Good","EAS",0.793824701195219
"BDCHP-1X10-HUMANHAP240S_11216501_A",0.941429683564592,1.69853917662683,753,"2. Good","EAS",0.799800796812749
"HumanCoreExome-12-v1-0-D",0.940742776022347,1.71845949535193,753,"2. Good","EAS",0.793492695883134
"HumanOmni5Exome-4v1-1_A",0.940605394513898,1.72244355909695,753,"2. Good","EAS",0.792828685258964
"InfiniumOmni5Exome-4v1-3_A1",0.938819434904062,1.7742363877822,753,"2. Good","EAS",0.784860557768924
"HumanOmni5Exome-4v1_A",0.936117598571232,1.85258964143426,753,"2. Good","EAS",0.784860557768924
"HumanCoreExome-12-v1-1-C",0.933186793057654,1.93758300132802,753,"2. Good","EAS",0.773572377158035
"InfiniumCoreExome-24v1-2_A1",0.932591473187709,1.95484727755644,753,"2. Good","EAS",0.769588313413015
"InfiniumCoreExome-24v1-3_A1",0.932591473187709,1.95484727755644,753,"2. Good","EAS",0.769588313413015
"HumanOmni25Exome-8v1_A",0.93108027659477,1.99867197875166,753,"2. Good","EAS",0.76527224435591
"InfiniumOmni2-5Exome-8v1-4_A1",0.930393369052526,2.01859229747676,753,"2. Good","EAS",0.76195219123506
"InfiniumOmni2-5Exome-8v1-3_A1",0.930301781380226,2.02124833997344,753,"2. Good","EAS",0.77124833997344
"InfiniumOmni2-5Exome-8v1-5_A1",0.92979804918258,2.03585657370518,753,"2. Good","EAS",0.75796812749004
"InfiniumPsychArray-24v1-2_A1",0.929706461510281,2.03851261620186,753,"2. Good","EAS",0.766268260292165
"InfiniumPsychArray-24v1-3_A1",0.92847002793424,2.07436918990704,753,"2. Good","EAS",0.7632802124834
"HumanOmni2-5Exome-8-v1-1-A",0.928286852589641,2.0796812749004,753,"2. Good","EAS",0.7566401062417
"HumanOmni2-5-8-v1-0-D",0.925081284059166,2.1726427622842,753,"2. Good","EAS",0.763612217795485
"GenomeWideSNP_6.na31",0.92315794294088,2.22841965471448,753,"2. Good","EAS",0.76128818061089
"GenomeWideSNP_6",0.920730869624948,2.29880478087649,753,"2. Good","EAS",0.753652058432935
"HumanOmni5-4-v1-0-D",0.919952374410404,2.32138114209827,753,"2. Good","EAS",0.752324037184595
"InfiniumOmni2.5Exome-8v1-2_A",0.917708476439071,2.38645418326693,753,"2. Good","EAS",0.731739707835325
"HumanOmni2-5-8-v1-1-C",0.915693547648487,2.44488711819389,753,"2. Good","EAS",0.73937583001328
"HumanOmni5Exome-4v1-2_A",0.911572102395018,2.56440903054449,753,"2. Good","EAS",0.718791500664011
"InfiniumCoreExome-24v1-1_A",0.911434720886569,2.56839309428951,753,"2. Good","EAS",0.733731739707835
"HumanCoreExome-24v1-0_A",0.90996931812978,2.61088977423639,753,"2. Good","EAS",0.727091633466135
"InfiniumOmni5-4v1-2_A1",0.909282410587535,2.63081009296149,753,"2. Good","EAS",0.717795484727756
"InfiniumPsychArray-24v1-1_A1",0.907862801666896,2.67197875166003,753,"2. Good","EAS",0.706175298804781
"Multi-EthnicAMR-AFR-8v1-0_A1",0.90593946054861,2.72775564409031,753,"2. Good","EAS",0.705511288180611
"InfiniumOmni2-5-8v1-4_A1",0.903832944085726,2.78884462151394,753,"2. Good","EAS",0.703851261620186
"PsychArray_A",0.903695562577277,2.79282868525896,753,"2. Good","EAS",0.696547144754316
"InfiniumOmni2-5-8v1-3_A1",0.902596510509685,2.82470119521912,753,"2. Good","EAS",0.716467463479416
"BDCHP-1X10-HUMANHAP550_11218540_C",0.896918074827128,2.98937583001328,753,"2. Good","EAS",0.698871181938911
"Human1Mv1_C",0.894811558364244,3.05046480743692,753,"2. Good","EAS",0.694887118193891
"Axiom_UKB_WCSG",0.89137702065302,3.15006640106242,753,"2. Good","EAS",0.731739707835325
"HumanOmniExpressExome-8-v1-0-B",0.888995741173238,3.2191235059761,753,"2. Good","EAS",0.658698539176627
"HumanExome-12v1_A",0.887713513761048,3.25630810092962,753,"2. Good","EAS",0.656374501992032
"Human1M-Duov3_B",0.887163987727252,3.27224435590969,753,"2. Good","EAS",0.673306772908366
"Human1-2M-DuoCustom_v1_A",0.886843430874204,3.28154050464807,753,"2. Good","EAS",0.672974767596281
"GenomeWide_6-.58-v2",0.886614461693456,3.28818061088977,753,"2. Good","EAS",0.676294820717131
"HumanOmni5-4v1-1_A",0.88478270824747,3.34130146082337,753,"2. Good","EAS",0.660690571049137
"HumanOmni2-5-8-v1-2-A",0.882309841095389,3.41301460823373,753,"2. Good","EAS",0.639110225763612
"GenomeWideSNP_6.na33",0.879104272564913,3.50597609561753,753,"2. Good","EAS",0.653386454183267
"HumanCore-12-v1-0-B",0.877043549938178,3.56573705179283,753,"2. Good","EAS",0.651726427622842
"humancore-24-v1-0-a",0.87548655950909,3.61088977423639,753,"2. Good","EAS",0.653054448871182
"HumanExome-12v1-1_A",0.872280990978614,3.70385126162019,753,"2. Good","EAS",0.625166002656042
"HumanOmniExpressExome-8-v1-1-C",0.872143609470165,3.70783532536521,753,"2. Good","EAS",0.625166002656042
"InfiniumCore-24v1-2_A1",0.870861382057975,3.74501992031872,753,"2. Good","EAS",0.629814077025232
"InfiniumCore-24v1-1_A1",0.86751843201905,3.84196547144754,753,"2. Good","EAS",0.627158034528552
"GSA-24v1-0_A1",0.867289462838302,3.84860557768924,753,"2. Good","EAS",0.608897742363878
"GSA-24v1-0_C1",0.867289462838302,3.84860557768924,753,"2. Good","EAS",0.608897742363878
"GSAMD-24v1-0_20011747_A1",0.867289462838302,3.84860557768924,753,"2. Good","EAS",0.608897742363878
"InfiniumOmniExpressExome-8v1-3_A",0.857260612721528,4.1394422310757,753,"2. Good","EAS",0.584329349269588
"InfiniumOmniExpressExome-8v1-6_A1",0.850986857169025,4.32138114209827,753,"2. Good","EAS",0.574701195219124
"InfiniumExome-24v1-1_A1",0.849796217429134,4.35590969455511,753,"3. Fair","EAS",0.569389110225764
"InfiniumOmniExpressExome-8v1-4_A1",0.849200897559188,4.37317397078353,753,"3. Fair","EAS",0.568725099601594
"HumanOmni1S-8v1_H",0.848422402344644,4.39575033200531,753,"3. Fair","EAS",0.580677290836653
"HumanExome-12v1-2_A",0.847414937949352,4.42496679946879,753,"3. Fair","EAS",0.553452855245684
"Consortium-OncoArray_15047405_A",0.817832119796675,5.28286852589641,753,"3. Fair","EAS",0.481075697211155
"OncoArray-500K_B",0.817328387599029,5.29747675962815,753,"3. Fair","EAS",0.47941567065073
"Cardio-Metabo_Chip_11395247_A",0.808078032696799,5.56573705179283,753,"3. Fair","EAS",0.457503320053121
"Axiom_GW_PanAFR",0.784723176260475,6.24302788844621,753,"3. Fair","EAS",0.436918990703851
"Axiom_GW_HuOrigin",0.77886156523332,6.41301460823373,753,"3. Fair","EAS",0.411354581673307
"InfiniumOmniZhongHua-8v1-4_A1",0.778449420707973,6.42496679946879,753,"3. Fair","EAS",0.427954847277556
"HumanOmniZhongHua-8v1_B",0.761872052021798,6.90571049136786,753,"3. Fair","EAS",0.470119521912351
"Axiom_GW_EAS",0.754545038237853,7.11819389110226,753,"3. Fair","EAS",0.339973439575033
"humanomnizhonghua-8v1-1_a",0.752713284791867,7.17131474103586,753,"3. Fair","EAS",0.459495351925631
"Axiom_GW_Hu_SNP",0.739616247653066,7.55112881806109,753,"4. Poor","EAS",0.356905710491368
"Axiom_GW_ASI",0.738883546274671,7.57237715803453,753,"4. Poor","EAS",0.354581673306773
"HumanOmniZhongHua-8v1-2_A",0.720932362504007,8.0929614873838,753,"4. Poor","EAS",0.391766268260292
"InfiniumOmniZhongHua-8v1-3_A1",0.719650135091817,8.13014608233732,753,"4. Poor","EAS",0.394090305444887
"Axiom_PMRA_r3",0.696066309474745,8.8140770252324,753,"4. Poor","EAS",0.179946879150066
"HumanOmni1-Quad_v1-0_B",0.596189952832349,11.7104913678619,753,"4. Poor","EAS",0.0766932270916335
"Axiom_GW_CHB2",0.558776388698081,12.7954847277556,753,"4. Poor","EAS",0.107901726427623
"Axiom_GW_LAT",0.55497550029766,12.9057104913679,753,"4. Poor","EAS",0.0919654714475432
"Axiom_GW_AFR",0.539405596006778,13.3572377158035,753,"4. Poor","EAS",0.0634130146082337
"Axiom_GW_EUR",0.534643037047213,13.4953519256308,753,"4. Poor","EAS",0.0747011952191235
"Axiom_BioBank1",0.51385263543527,14.0982735723772,753,"4. Poor","EAS",0.0942895086321381
"HumanOmni2.5S-8v1_B",0.483949260429546,14.9654714475432,753,"4. Poor","EAS",0.0664010624169987
"Immuno_BeadChip_11419691_B",0.450565553876448,15.933598937583,753,"4. Poor","EAS",0.000664010624169987
