"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population","Mean_Match_Score"
"GSAMD-24v2-0_20024620_A1",0.970571992110454,0.882840236686391,845,"1. High","EUR",0.856508875739645
"Axiom_PMDA",0.959644970414201,1.21065088757396,845,"1. High","EUR",0.822189349112426
"GSA-24v2-0_A1",0.958224852071006,1.25325443786982,845,"1. High","EUR",0.814792899408284
"GDA-8v1-0_A1",0.957278106508876,1.28165680473373,845,"1. High","EUR",0.816568047337278
"Axiom_APMRA",0.954950690335306,1.35147928994083,845,"1. High","EUR",0.811538461538462
"GSA-24v3-0_A2",0.951755424063116,1.44733727810651,845,"1. High","EUR",0.794674556213018
"BDCHP-1X10-HUMANHAP240S_11216501_A",0.950138067061144,1.49585798816568,845,"1. High","EUR",0.809171597633136
"Multi-EthnicGlobal_A1",0.946311637080868,1.61065088757396,845,"2. Good","EUR",0.78698224852071
"Multi-EthnicGlobal_D1",0.945404339250493,1.63786982248521,845,"2. Good","EUR",0.781065088757396
"Axiom_UKB_WCSG",0.943905325443787,1.68284023668639,845,"2. Good","EUR",0.789349112426035
"PsychChip_v1-1_15073391_A1",0.942919132149901,1.71242603550296,845,"2. Good","EUR",0.778994082840237
"HumanCoreExome-12-v1-0-D",0.942445759368836,1.72662721893491,845,"2. Good","EUR",0.774260355029586
"HumanCoreExome-12-v1-1-C",0.940710059171598,1.77869822485207,845,"2. Good","EUR",0.759171597633136
"HumanOmni5Exome-4v1-1_A",0.940315581854043,1.7905325443787,845,"2. Good","EUR",0.769230769230769
"InfiniumOmni5Exome-4v1-3_A1",0.940039447731756,1.79881656804734,845,"2. Good","EUR",0.757988165680473
"HumanOmni5Exome-4v1_A",0.939723865877712,1.80828402366864,845,"2. Good","EUR",0.768343195266272
"InfiniumCoreExome-24v1-2_A1",0.938264299802761,1.85207100591716,845,"2. Good","EUR",0.749704142011834
"InfiniumCoreExome-24v1-3_A1",0.938264299802761,1.85207100591716,845,"2. Good","EUR",0.749704142011834
"InfiniumOmni2-5Exome-8v1-4_A1",0.93767258382643,1.8698224852071,845,"2. Good","EUR",0.756508875739645
"HumanCoreExome-24v1-0_A",0.936804733727811,1.89585798816568,845,"2. Good","EUR",0.748816568047337
"InfiniumPsychArray-24v1-2_A1",0.936568047337278,1.90295857988166,845,"2. Good","EUR",0.741420118343195
"InfiniumPsychArray-24v1-3_A1",0.936449704142012,1.90650887573964,845,"2. Good","EUR",0.740828402366864
"Multi-EthnicAMR-AFR-8v1-0_A1",0.936173570019724,1.91479289940828,845,"2. Good","EUR",0.762721893491124
"InfiniumOmni2-5Exome-8v1-5_A1",0.935108481262327,1.94674556213018,845,"2. Good","EUR",0.744970414201183
"InfiniumOmni2-5Exome-8v1-3_A1",0.934832347140039,1.95502958579882,845,"2. Good","EUR",0.746153846153846
"HumanOmni5Exome-4v1-2_A",0.934792899408284,1.95621301775148,845,"2. Good","EUR",0.739349112426036
"HumanOmni25Exome-8v1_A",0.934437869822485,1.96686390532544,845,"2. Good","EUR",0.755621301775148
"InfiniumCoreExome-24v1-1_A",0.933254437869822,2.00236686390533,845,"2. Good","EUR",0.73698224852071
"HumanOmni2-5Exome-8-v1-1-A",0.932228796844181,2.03313609467456,845,"2. Good","EUR",0.748520710059172
"PsychArray_A",0.930808678500986,2.07573964497041,845,"2. Good","EUR",0.733431952662722
"InfiniumOmni2.5Exome-8v1-2_A",0.930493096646943,2.08520710059172,845,"2. Good","EUR",0.731952662721894
"HumanOmni5-4-v1-0-D",0.928205128205128,2.15384615384615,845,"2. Good","EUR",0.743786982248521
"InfiniumPsychArray-24v1-1_A1",0.926824457593688,2.19526627218935,845,"2. Good","EUR",0.72396449704142
"HumanOmni2-5-8-v1-0-D",0.924102564102564,2.27692307692308,845,"2. Good","EUR",0.725443786982249
"GenomeWideSNP_6.na31",0.922209072978304,2.33372781065089,845,"2. Good","EUR",0.734023668639053
"InfiniumOmni5-4v1-2_A1",0.922209072978304,2.33372781065089,845,"2. Good","EUR",0.713609467455621
"HumanExome-12v1_A",0.921025641025641,2.36923076923077,845,"2. Good","EUR",0.714497041420118
"BDCHP-1X10-HUMANHAP550_11218540_C",0.918658777120316,2.44023668639053,845,"2. Good","EUR",0.72396449704142
"GenomeWideSNP_6",0.91861932938856,2.4414201183432,845,"2. Good","EUR",0.722189349112426
"InfiniumOmniExpressExome-8v1-3_A",0.918382642998028,2.44852071005917,845,"2. Good","EUR",0.706213017751479
"Human1Mv1_C",0.917790927021696,2.46627218934911,845,"2. Good","EUR",0.721301775147929
"HumanExome-12v1-1_A",0.916962524654832,2.49112426035503,845,"2. Good","EUR",0.704733727810651
"HumanOmniExpressExome-8-v1-1-C",0.916962524654832,2.49112426035503,845,"2. Good","EUR",0.704733727810651
"InfiniumOmniExpressExome-8v1-6_A1",0.916962524654832,2.49112426035503,845,"2. Good","EUR",0.692899408284024
"HumanExome-12v1-2_A",0.916923076923077,2.49230769230769,845,"2. Good","EUR",0.694674556213018
"InfiniumExome-24v1-1_A1",0.916844181459566,2.49467455621302,845,"2. Good","EUR",0.69112426035503
"HumanOmni2-5-8-v1-1-C",0.9167258382643,2.49822485207101,845,"2. Good","EUR",0.711538461538462
"InfiniumOmniExpressExome-8v1-4_A1",0.916607495069033,2.50177514792899,845,"2. Good","EUR",0.689644970414201
"Human1M-Duov3_B",0.914635108481262,2.56094674556213,845,"2. Good","EUR",0.704733727810651
"Human1-2M-DuoCustom_v1_A",0.913372781065089,2.59881656804734,845,"2. Good","EUR",0.703550295857988
"HumanOmniExpressExome-8-v1-0-B",0.912899408284024,2.61301775147929,845,"2. Good","EUR",0.707692307692308
"InfiniumOmni2-5-8v1-4_A1",0.912820512820513,2.61538461538462,845,"2. Good","EUR",0.68698224852071
"HumanOmni5-4v1-1_A",0.911439842209073,2.65680473372781,845,"2. Good","EUR",0.689940828402367
"humancore-24-v1-0-a",0.910177514792899,2.69467455621302,845,"2. Good","EUR",0.69585798816568
"InfiniumOmni2-5-8v1-3_A1",0.909625246548323,2.7112426035503,845,"2. Good","EUR",0.679585798816568
"HumanCore-12-v1-0-B",0.906824457593688,2.79526627218935,845,"2. Good","EUR",0.68491124260355
"InfiniumCore-24v1-2_A1",0.905719921104536,2.82840236686391,845,"2. Good","EUR",0.668343195266272
"InfiniumCore-24v1-1_A1",0.903984220907298,2.88047337278106,845,"2. Good","EUR",0.667159763313609
"GenomeWideSNP_6.na33",0.900118343195266,2.99644970414201,845,"2. Good","EUR",0.661834319526627
"GenomeWide_6-.58-v2",0.900118343195266,2.99644970414201,845,"2. Good","EUR",0.661834319526627
"HumanOmni1S-8v1_H",0.898224852071006,3.05325443786982,845,"2. Good","EUR",0.657100591715976
"HumanOmni2-5-8-v1-2-A",0.893214990138067,3.20355029585799,845,"2. Good","EUR",0.631065088757396
"GSAMD-24v1-0_20011747_A1",0.888994082840237,3.3301775147929,845,"2. Good","EUR",0.620414201183432
"GSA-24v1-0_A1",0.888915187376726,3.33254437869822,845,"2. Good","EUR",0.619822485207101
"GSA-24v1-0_C1",0.885877712031558,3.42366863905325,845,"2. Good","EUR",0.618047337278106
"Consortium-OncoArray_15047405_A",0.884812623274162,3.45562130177515,845,"2. Good","EUR",0.692307692307692
"OncoArray-500K_B",0.88,3.6,845,"2. Good","EUR",0.690236686390533
"Axiom_GW_PanAFR",0.845798816568047,4.62603550295858,845,"3. Fair","EUR",0.577218934911243
"Axiom_GW_HuOrigin",0.841696252465483,4.7491124260355,845,"3. Fair","EUR",0.565680473372781
"Cardio-Metabo_Chip_11395247_A",0.834950690335306,4.95147928994083,845,"3. Fair","EUR",0.60887573964497
"Axiom_GW_Hu_SNP",0.818934911242604,5.43195266272189,845,"3. Fair","EUR",0.513313609467456
"Axiom_GW_ASI",0.804378698224852,5.86863905325444,845,"3. Fair","EUR",0.490828402366864
"HumanOmni1-Quad_v1-0_B",0.790887573964497,6.27337278106509,845,"3. Fair","EUR",0.508284023668639
"Axiom_GW_EAS",0.758343195266272,7.24970414201183,845,"3. Fair","EUR",0.415976331360947
"HumanOmniZhongHua-8v1_B",0.749151873767258,7.52544378698225,845,"4. Poor","EUR",0.460355029585799
"Axiom_GW_AFR",0.745364891518738,7.63905325443787,845,"4. Poor","EUR",0.397633136094675
"Axiom_GW_LAT",0.745207100591716,7.64378698224852,845,"4. Poor","EUR",0.398224852071006
"Axiom_GW_CHB2",0.744299802761341,7.67100591715976,845,"4. Poor","EUR",0.396153846153846
"humanomnizhonghua-8v1-1_a",0.738658777120316,7.84023668639053,845,"4. Poor","EUR",0.425443786982248
"InfiniumOmniZhongHua-8v1-4_A1",0.726903353057199,8.19289940828402,845,"4. Poor","EUR",0.395562130177515
"HumanOmniZhongHua-8v1-2_A",0.723826429980276,8.28520710059172,845,"4. Poor","EUR",0.397633136094675
"Axiom_PMRA_r3",0.716607495069033,8.50177514792899,845,"4. Poor","EUR",0.383431952662722
"HumanOmni2.5S-8v1_B",0.715818540433925,8.52544378698225,845,"4. Poor","EUR",0.349408284023669
"InfiniumOmniZhongHua-8v1-3_A1",0.712386587771203,8.62840236686391,845,"4. Poor","EUR",0.375147928994083
"Axiom_GW_EUR",0.707652859960552,8.77041420118343,845,"4. Poor","EUR",0.32810650887574
"Axiom_BioBank1",0.611834319526627,11.6449704142012,845,"4. Poor","EUR",0.248224852071006
"Immuno_BeadChip_11419691_B",0.598422090729783,12.0473372781065,845,"4. Poor","EUR",0.232248520710059
