"ArrayType","AUC_Normalized","Mean_Distance","n","Tier","Population"
"GSAMD-24v2-0_20024620_A1",0.980893325267191,0.554093567251462,684,"🥇 Gold (Excellent)","SAS"
"GDA-8v1-0_A1",0.972222222222222,0.805555555555556,684,"🥇 Gold (Excellent)","SAS"
"GSA-24v2-0_A1",0.971768501714055,0.818713450292398,684,"🥇 Gold (Excellent)","SAS"
"GSA-24v3-0_A2",0.969852792901795,0.874269005847953,684,"🥇 Gold (Excellent)","SAS"
"Axiom_PMDA",0.967735430530349,0.935672514619883,684,"🥇 Gold (Excellent)","SAS"
"Axiom_APMRA",0.964458560193587,1.03070175438596,684,"🥇 Gold (Excellent)","SAS"
"Multi-EthnicGlobal_A1",0.956795724944545,1.25292397660819,684,"🥇 Gold (Excellent)","SAS"
"Multi-EthnicGlobal_D1",0.956493244605767,1.26169590643275,684,"🥇 Gold (Excellent)","SAS"
"BDCHP-1X10-HUMANHAP240S_11216501_A",0.951250252066949,1.41374269005848,684,"🥇 Gold (Excellent)","SAS"
"HumanOmni5Exome-4v1_A",0.949838677152652,1.4546783625731,684,"🥈 Silver (Good)","SAS"
"InfiniumOmni5Exome-4v1-3_A1",0.949082476305707,1.4766081871345,684,"🥈 Silver (Good)","SAS"
"PsychChip_v1-1_15073391_A1",0.948830409356725,1.48391812865497,684,"🥈 Silver (Good)","SAS"
"HumanOmni5Exome-4v1-1_A",0.94807420850978,1.50584795321637,684,"🥈 Silver (Good)","SAS"
"HumanCoreExome-12-v1-0-D",0.947217180883243,1.53070175438596,684,"🥈 Silver (Good)","SAS"
"InfiniumCoreExome-24v1-2_A1",0.944343617664852,1.6140350877193,684,"🥈 Silver (Good)","SAS"
"InfiniumCoreExome-24v1-3_A1",0.944343617664852,1.6140350877193,684,"🥈 Silver (Good)","SAS"
"HumanCoreExome-12-v1-1-C",0.943436176648518,1.64035087719298,684,"🥈 Silver (Good)","SAS"
"Multi-EthnicAMR-AFR-8v1-0_A1",0.942932042750555,1.65497076023392,684,"🥈 Silver (Good)","SAS"
"HumanCoreExome-24v1-0_A",0.941923774954628,1.68421052631579,684,"🥈 Silver (Good)","SAS"
"InfiniumPsychArray-24v1-2_A1",0.941772534785239,1.68859649122807,684,"🥈 Silver (Good)","SAS"
"InfiniumOmni2-5Exome-8v1-3_A1",0.941570881226054,1.69444444444444,684,"🥈 Silver (Good)","SAS"
"InfiniumPsychArray-24v1-3_A1",0.941217987497479,1.7046783625731,684,"🥈 Silver (Good)","SAS"
"InfiniumOmni2-5Exome-8v1-5_A1",0.940915507158701,1.71345029239766,684,"🥈 Silver (Good)","SAS"
"InfiniumOmni2-5Exome-8v1-4_A1",0.940512200040331,1.72514619883041,684,"🥈 Silver (Good)","SAS"
"HumanOmni2-5Exome-8-v1-1-A",0.940260133091349,1.73245614035088,684,"🥈 Silver (Good)","SAS"
"HumanOmni25Exome-8v1_A",0.939907239362775,1.74269005847953,684,"🥈 Silver (Good)","SAS"
"HumanOmni5Exome-4v1-2_A",0.939705585803589,1.74853801169591,684,"🥈 Silver (Good)","SAS"
