"hg1";"hg2";"distance"
"A1a";"A";"4"
"A5b*";"A";"3"
"B4d1";"HV";"9"
"B6a";"HV";"6"
"C1a";"HV";"10"
"D1a1";"D4";"3"
"D4e1a";"D4";"4"
"E1a1";"HV";"10"
"F4a1a";"HV";"8"
"G1a1";"G1a";"1"
"G2a1";"V22";"16"
"H1a1a";"H1";"3"
"H2a2a1";"H2a2a1";"0"
"H3a";"H";"3"
"J1b1a1";"J1b1a";"1"
"K1a9";"K";"4"
"L0a";"L0a'b'f'g";"3"
"L0a1+16293";"L0a'b'f'g";"6"
"L0a1a";"L0a'b'f'g";"6"
"L0a1b";"L0a'b'f'g";"7"
"L0a1c1";"L0a'b'f'g";"8"
"L0a1d";"L0a'b'f'g";"7"
"L0a1e";"L0a'b'f'g";"6"
"L0a2";"L0a'b'f'g";"4"
"L0a2a2a";"L0a'b'f'g";"7"
"L0a2b";"L0a'b'f'g";"5"
"L0a2c";"L0a'b'f'g";"5"
"L0a2d";"L0a'b'f'g";"5"
"L0a3";"L0a'b'f'g";"4"
"L0a4";"L0a4";"0"
"L0b";"L0a'b'f'g";"2"
"L0d1a";"L0d1a";"0"
"L0d1b2a1";"L0d1b2a";"1"
"L0d1c";"L0d1";"2"
"L0d1d";"L0d1";"3"
"L0d2a1";"L0d";"5"
"L0d2b2";"L0d";"5"
"L0d2c1";"L0d";"4"
"L0d2d";"L0d";"4"
"L0d3a";"L0d3";"1"
"L0d3b1";"L0d3";"2"
"L0f1";"L0a'b'f'g";"2"
"L0f1*";"L0a'b'f'g";"3"
"L0f2b";"L0a'b'f'g";"3"
"L0g";"L0g";"0"
"L0k1a1a";"L0k1a";"2"
"L0k1a2";"L0k1a";"1"
"L0k1a3";"L0k1a";"1"
"L0k1b";"L0k";"2"
"L0k2a";"L0k2";"1"
"L0k2b";"L0k2";"1"
"L1b1a+189";"L1b";"3"
"L1b1a12a";"L1b";"4"
"L1b2";"L1b";"2"
"L1b2a";"L1b";"3"
"L1b3";"L1b";"2"
"L1c1";"L1c";"3"
"L1c1a*";"L1c";"6"
"L1c1b";"L1c";"6"
"L1c1c*3";"L1c1c";"1"
"L1c1d*";"L1c";"7"
"L1c2b";"L1c";"5"
"L1c2b1a'b";"L1c";"7"
"L1c3a*1";"L1c";"3"
"L1c3b1a";"L1c3b1a";"0"
"L1c3c";"L1c";"3"
"L1c4a*";"L1c";"6"
"L1c4b";"L1c";"5"
"L1c5";"L1c5";"0"
"L1c6";"L1c";"3"
"L2a1a";"L2a1a";"0"
"L2a1b";"L2a2'3";"5"
"L2a1c+16129*";"L2a1c";"2"
"L2a1d2*";"L2a1d2*";"0"
"L2a1e1";"L2a1'2'3'4";"4"
"L2a1f3";"L2a1'2'3'4";"4"
"L2a1g";"L2a1'2'3'4";"3"
"L2a1h*";"L2a1'2'3'4";"5"
"L2a1i1";"L2a1'2'3'4";"6"
"L2a1j";"L2a1'2'3'4";"4"
"L2a1l1a";"L2a1'2'3'4";"6"
"L2a1q";"L2a1'2'3'4";"5"
"L2a2a";"L2a2'3";"2"
"L2a2b";"L2a2'3";"2"
"L2a5*1a";"L2a5*1a";"0"
"L2b1";"L2b'c";"2"
"L2b1a";"L2b'c";"3"
