"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"A1a"	"H2a2a1"	"1"	"0.5000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"A5b*"	"A5"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"B4d1"	"H1cd"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"B6a"	"H2a2a1"	"1"	"0.5000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"C1a"	"C1a"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"D1a1"	"H2a2a1"	"1"	"0.5000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"D4e1a"	"H1*2"	"1"	"0.7971"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"E1a1"	"E"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"F4a1a"	"F4a1a"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"G1a1"	"G"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"G2a1"	"G"	"1"	"1.0000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"H1a1a"	"H2a2a1"	"1"	"0.5000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"H2a2a1"	"H2a2a1"	"1"	"0.5000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
"H3a"	"H2a2a1"	"1"	"0.5000"	"16304 16316 16399 16482 8502 6374 3384 8594 6392 3396 8859 6446 3644 8946 6680 3645 8964 6734 3705 9064 7142 3826 9140 7476 3921 9587 7684 4023 9785 7697 4025 10118 7853 4335 72 10397 7859 5108 93 10607 7861 5301 125 10640 7870 5833 199 10754 7972 6248 212 10914 8020 6285 215 13183 11061 236 13215 11215 482 13626 11288 513 13934 11536 523 14025 11560 711 14133 11696 722 14182 11959 951 14323 12121 1041 14338 12285 1721 14417 12498 2755 14433 12771 2880 14502 12811 3027 14512 12822 3203 14544 12882 3206 14569 12940 3330 14872 14890 14893 14979 15172 15487 15148 15452 15514 15904 16051 16069 16086 16168 16217 16298"
