"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"A1a"	"H2a2a1"	"1"	"0.5000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"A5b*"	"A5"	"1"	"1.0000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"B4d1"	"H1cd"	"1"	"1.0000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"B6a"	"H2a2a1"	"1"	"0.5000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"C1a"	"C1a"	"1"	"1.0000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"D1a1"	"H2a2a1"	"1"	"0.5000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"D4e1a"	"H1*2"	"1"	"0.7971"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"E1a1"	"E"	"1"	"1.0000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"F4a1a"	"F4a1a"	"1"	"1.0000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
"G1a1"	"G"	"1"	"1.0000"	"72 93 125 236 215 482 523 711 722 951 1041 1721 2880 3027 3203 3206 3330 3384 3396 3644 3645 11696 3705 11959 3826 12121 3921 12285 4023 12498 4025 12642 4335 12771 5108 12811 5301 12822 5833 12882 6248 12940 6285 13183 6374 13215 6392 13626 6446 13934 6680 14025 6734 14133 7142 14182 7476 14323 7684 14338 7697 14417 7853 14433 7859 14502 7861 14512 7870 14544 7972 14569 8020 14872 8502 14890 8594 14893 8859 14979 8946 15148 8964 15172 9064 15452 9140 15487 9587 15514 9785 15904 10118 15907 10397 16069 10640 16086 10754 16168 10914 16217 11061 16316 11215 16356 11288 16399 11536 16482 11560"
