"hg1";"hg2";"distance"
"A1a";"H2a2a1";"14"
"A5b*";"A5";"2"
"B4d1";"H1cd";"13"
"B6a";"H2a2a1";"12"
"C1a";"C1a";"0"
"D1a1";"H2a2a1";"17"
"D4e1a";"H1*2";"15"
"E1a1";"E";"3"
"F4a1a";"F4a1a";"0"
"G1a1";"G";"3"
"G2a1";"G";"4"
"H1a1a";"H2a2a1";"9"
"H2a2a1";"H2a2a1";"0"
"H3a";"H2a2a1";"8"
"J1b1a1";"J";"5"
"K1a9";"H2a2a1";"18"
"L0a";"L1c1a2";"16"
"L0a1+16293";"L0a1'4";"2"
"L0a1a";"L0a1'4";"2"
"L0a1b";"L0a1'4";"3"
"L0a1c1";"L0a1c";"1"
"L0a1d";"L0a1'4";"3"
"L0a1e";"L1c1a2";"19"
"L0a2";"L1c1a2";"17"
"L0a2a2a";"L1c1a2";"20"
"L0a2b";"L1c1a2";"18"
"L0a2c";"L1c1a2";"18"
"L0a2d";"L1c1a2";"18"
"L0a3";"L1c1a2";"17"
"L0a4";"L0a1'4";"1"
"L0b";"M70";"14"
"L0d1a";"L0d";"5"
"L0d1b2a1";"L0d";"6"
"L0d1c";"L0d";"4"
"L0d1d";"L0d";"5"
"L0d2a1";"L0d1b1c*";"10"
"L0d2b2";"L0d2b";"1"
"L0d2c1";"L0d1b1c*";"9"
"L0d2d";"L0d2d";"0"
"L0d3a";"L0d3a";"0"
"L0d3b1";"L0d3";"2"
"L0f1";"HV19";"16"
"L0f1*";"L0f1*";"0"
"L0f2b";"L0f2b";"0"
"L0g";"L1c1a2";"16"
"L0k1a1a";"U5b";"19"
"L0k1a2";"U5b";"18"
"L0k1a3";"U5b";"18"
"L0k1b";"U5b";"17"
"L0k2a";"R30*";"15"
"L0k2b";"U5b";"17"
"L1b1a+189";"H2a2a1";"20"
"L1b1a12a";"H2a2a1";"21"
"L1b2";"H94";"15"
"L1b2a";"H94";"16"
"L1b3";"L5";"6"
"L1c1";"H81";"16"
"L1c1a*";"H2a2a1";"23"
"L1c1b";"R9b1a1a*";"22"
"L1c1c*3";"I5a2a";"25"
"L1c1d*";"H2a2a1";"24"
"L1c2b";"HV19";"17"
"L1c2b1a'b";"M27c";"17"
"L1c3a*1";"H2a2a1";"20"
"L1c3b1a";"H2a2a1";"22"
"L1c3c";"L1c3c";"0"
"L1c4a*";"L1c4a";"1"
"L1c4b";"A2af1b2";"22"
"L1c5";"H2a2a1";"19"
"L1c6";"H2a2a1";"20"
"L2a1a";"H2a2a1";"19"
"L2a1b";"H2a2a1";"20"
