"ArrayType","ClusterID","SNPs"
"Axiom_APMRA","1",779
"Axiom_BioBank1","1",101
"Axiom_GW_AFR","2",96
"Axiom_GW_ASI","2",233
"Axiom_GW_CHB2","1",95
"Axiom_GW_EAS","2",73
"Axiom_GW_EUR","2",99
"Axiom_GW_Hu_SNP","2",262
"Axiom_GW_HuOrigin","2",255
"Axiom_GW_LAT","2",120
"Axiom_GW_PanAFR","2",280
"Axiom_PMDA","1",714
"Axiom_PMRA_r3","1",170
"Axiom_UKB_WCSG","1",274
"BDCHP-1X10-HUMANHAP240S_11216501_A","1",309
"BDCHP-1X10-HUMANHAP550_11218540_C","3",170
"Cardio-Metabo_Chip_11395247_A","4",130
"cardio-metabo_chip_11395247_c","4",130
"Consortium-OncoArray_15047405_A","1",143
"GDA-8v1-0_A1","5",1135
"GenomeWide_6-.58-v2","6",329
"GenomeWideSNP_6","6",411
"GenomeWideSNP_6.na31","6",455
"GenomeWideSNP_6.na32","6",411
"GenomeWideSNP_6.na33","6",327
"GSA-24v1-0_A1","7",138
"GSA-24v1-0_A2","7",138
"GSA-24v1-0_A6","7",138
"GSA-24v1-0_C1","7",133
"GSA-24v2-0_A1","5",1013
"GSA-24v2-0_A2","5",1013
"GSA-24v3-0_A2","5",979
"GSAMD-24v1-0_20011747_A1","7",140
"GSAMD-24v1-0_20011747_A2","7",140
"GSAMD-24v1-0_20011747_A4","7",140
"GSAMD-24v1-0_20011747_A5","7",140
"GSAMD-24v2-0_20024620_A1","5",1229
"GSAMD-24v2-0_20024620_B1","5",1013
"GSCA-24v1-0_20010441_A1","7",140
"GSCA-24v2-0_20023496_A1","5",1229
"Human1-2M-DuoCustom_v1_A","3",122
"Human1M-Duov3_B","3",122
"Human1M-Duov3_C","3",122
"human1m-duov3_h","3",122
"Human1MDuo-v2","3",122
"Human1MDuov3_C","3",122
"Human1Mv1_C","3",157
"Human610-Quadv1_B","3",122
"Human610-Quadv1_B-","3",122
"human610-quadv1_h","3",122
"Human660W-Quad_v1_A","3",122
"Human660W-Quad_v1_C","3",122
"human660w-quad_v1_h","3",122
"Human670-QuadCustom_v1_A","3",122
"HumanCore-12-v1-0-B","7",191
"humancore-12v1-0_a","7",191
"humancore-12v1-0_a-v2","7",191
"humancore-24-v1-0-a","7",190
"HumanCoreExome-12-v1-0-D","8",396
"HumanCoreExome-12-v1-1-C","8",391
"HumanCoreExome-12v1-0_B","8",396
"HumanCoreExome-12v1-0_B--ILLM","8",396
"humancoreexome-12v1-0_c","8",396
"humancoreexome-12v1-1_a","8",391
"HumanCoreExome-12v1-1_B","8",391
"HumanCoreExome-24v1-0_A","8",369
"HumanExome-12v1_A","9",223
"HumanExome-12v1-1_A","9",216
"HumanExome-12v1-1_A-","9",216
"HumanExome-12v1-2_A","9",215
"HumanHap550-2v3_B","3",157
"HumanHap550-2v3_B-","3",157
"HumanHap550-2v3_B--","3",157
"HumanHap550v3_A","3",157
"HumanHap650Yv3_A","3",157
"HumanOmni1-Quad_v1-0_B","10",24
"HumanOmni1-Quad_v1-0_B--","10",24
"HumanOmni1-Quad_v1-0_C","10",24
"HumanOmni1-Quad_v1-0_H","10",24
"humanomni1-quad_v1-0-multi_h","10",24
"HumanOmni1S-8v1_H","3",85
"HumanOmni2-5-8-v1-0-D","7",235
"HumanOmni2-5-8-v1-1-C","7",218
"HumanOmni2-5-8-v1-2-A","7",177
"HumanOmni2-5Exome-8-v1-1-A","8",380
"HumanOmni2.5-4v1_B","3",85
"HumanOmni2.5-4v1_D","3",85
"HumanOmni2.5-4v1_H","3",85
"HumanOmni2.5-8v1_A","7",235
"HumanOmni2.5-8v1_A-","7",235
"HumanOmni2.5-8v1_C","7",235
"HumanOmni2.5S-8v1_B","1",31
"HumanOmni25-8v1-1_A","7",218
"HumanOmni25-8v1-2_A1","7",177
"HumanOmni25Exome-8v1_A","8",384
"humanomni25m-8v1-1_b","7",218
"HumanOmni5-4-v1-0-D","7",253
"HumanOmni5-4v1_B","7",253
"humanomni5-4v1_c","7",253
"HumanOmni5-4v1-1_A","7",208
"HumanOmni5Exome-4v1_A","8",421
"HumanOmni5Exome-4v1-1_A","8",417
"HumanOmni5Exome-4v1-1_A-","8",417
"HumanOmni5Exome-4v1-2_A","8",369
"HumanOmniExpressExome-8-v1-0-B","9",227
"HumanOmniExpressExome-8-v1-1-C","9",215
"HumanOmniExpressExome-8-v1-2-B","9",215
"HumanOmniExpressExome-8v1_A","9",227
"humanomniexpressexome-8v1-0_a","9",227
"HumanOmniExpressExome-8v1-2_A","9",215
"HumanOmniZhongHua-8v1_B","7",142
"humanomnizhonghua-8v1-1_a","7",137
"HumanOmniZhongHua-8v1-2_A","7",124
"Immuno_BeadChip_11419691_B","1",1
"InfiniumCore-24v1-1_A1","7",179
"InfiniumCore-24v1-2_A1","7",184
"InfiniumCoreExome-24v1-1_A","8",374
"InfiniumCoreExome-24v1-2_A1","8",387
"InfiniumCoreExome-24v1-3_A1","8",390
"InfiniumExome-24v1-1_A1","9",207
"InfiniumImmunoArray-24v2-0_A","1",1
"InfiniumOmni2-5-8v1-3_A1","7",203
"InfiniumOmni2-5-8v1-4_A1","7",207
"InfiniumOmni2-5Exome-8v1-3_A1","8",379
"InfiniumOmni2-5Exome-8v1-4_A1","8",388
"InfiniumOmni2-5Exome-8v1-5_A1","8",380
"InfiniumOmni2.5Exome-8v1-2_A","8",351
"InfiniumOmni5-4v1-2_A1","7",233
"InfiniumOmni5Exome-4v1-3_A1","8",400
"InfiniumOmniExpressExome-8v1-3_A","9",215
"InfiniumOmniExpressExome-8v1-4_A1","9",208
"InfiniumOmniExpressExome-8v1-6_A1","9",215
"InfiniumOmniZhongHua-8v1-3_A1","7",123
