"ArrayType","ClusterID"
"Axiom_APMRA (779)","1"
"Axiom_BioBank1 (101)","1"
"Axiom_GW_AFR (96)","2"
"Axiom_GW_ASI (233)","3"
"Axiom_GW_CHB2 (95)","1"
"Axiom_GW_EAS (73)","2"
"Axiom_GW_EUR (99)","2"
"Axiom_GW_Hu_SNP (262)","3"
"Axiom_GW_HuOrigin (255)","3"
"Axiom_GW_LAT (120)","2"
"Axiom_GW_PanAFR (280)","3"
"Axiom_PMDA (714)","1"
"Axiom_PMRA_r3 (170)","1"
"Axiom_UKB_WCSG (274)","4"
"BDCHP-1X10-HUMANHAP240S_11216501_A (309)","4"
"BDCHP-1X10-HUMANHAP550_11218540_C (170)","4"
"Cardio-Metabo_Chip_11395247_A (130)","4"
"Consortium-OncoArray_15047405_A (143)","5"
"GDA-8v1-0_A1 (1135)","6"
"GenomeWide_6-.58-v2 (329)","7"
"GenomeWideSNP_6 (411)","7"
"GenomeWideSNP_6.na31 (455)","7"
"GenomeWideSNP_6.na33 (327)","7"
"GSA-24v1-0_A1 (138)","8"
"GSA-24v1-0_C1 (133)","8"
"GSA-24v2-0_A1 (1013)","6"
"GSA-24v3-0_A2 (979)","6"
"GSAMD-24v1-0_20011747_A1 (140)","8"
"GSAMD-24v2-0_20024620_A1 (1229)","6"
"Human1-2M-DuoCustom_v1_A (122)","4"
"Human1M-Duov3_B (122)","4"
"Human1Mv1_C (157)","4"
"HumanCore-12-v1-0-B (191)","8"
"humancore-24-v1-0-a (190)","8"
"HumanCoreExome-12-v1-0-D (396)","9"
"HumanCoreExome-12-v1-1-C (391)","9"
"HumanCoreExome-24v1-0_A (369)","9"
"HumanExome-12v1_A (223)","10"
"HumanExome-12v1-1_A (216)","10"
"HumanExome-12v1-2_A (215)","10"
"HumanOmni1-Quad_v1-0_B (24)","1"
"HumanOmni1S-8v1_H (85)","4"
"HumanOmni2-5-8-v1-0-D (235)","8"
"HumanOmni2-5-8-v1-1-C (218)","8"
"HumanOmni2-5-8-v1-2-A (177)","8"
"HumanOmni2-5Exome-8-v1-1-A (380)","9"
"HumanOmni2.5S-8v1_B (31)","1"
"HumanOmni25Exome-8v1_A (384)","9"
"HumanOmni5-4-v1-0-D (253)","8"
"HumanOmni5-4v1-1_A (208)","8"
"HumanOmni5Exome-4v1_A (421)","9"
"HumanOmni5Exome-4v1-1_A (417)","9"
"HumanOmni5Exome-4v1-2_A (369)","9"
"HumanOmniExpressExome-8-v1-0-B (227)","10"
"HumanOmniExpressExome-8-v1-1-C (215)","10"
"HumanOmniZhongHua-8v1_B (142)","8"
"humanomnizhonghua-8v1-1_a (137)","8"
"HumanOmniZhongHua-8v1-2_A (124)","8"
"Immuno_BeadChip_11419691_B (1)","1"
"InfiniumCore-24v1-1_A1 (179)","8"
"InfiniumCore-24v1-2_A1 (184)","8"
"InfiniumCoreExome-24v1-1_A (374)","9"
"InfiniumCoreExome-24v1-2_A1 (387)","9"
"InfiniumCoreExome-24v1-3_A1 (390)","9"
"InfiniumExome-24v1-1_A1 (207)","10"
"InfiniumOmni2-5-8v1-3_A1 (203)","8"
"InfiniumOmni2-5-8v1-4_A1 (207)","8"
"InfiniumOmni2-5Exome-8v1-3_A1 (379)","9"
"InfiniumOmni2-5Exome-8v1-4_A1 (388)","9"
"InfiniumOmni2-5Exome-8v1-5_A1 (380)","9"
"InfiniumOmni2.5Exome-8v1-2_A (351)","9"
"InfiniumOmni5-4v1-2_A1 (233)","8"
"InfiniumOmni5Exome-4v1-3_A1 (400)","9"
"InfiniumOmniExpressExome-8v1-3_A (215)","10"
"InfiniumOmniExpressExome-8v1-4_A1 (208)","10"
"InfiniumOmniExpressExome-8v1-6_A1 (215)","10"
"InfiniumOmniZhongHua-8v1-3_A1 (123)","8"
"InfiniumOmniZhongHua-8v1-4_A1 (129)","8"
"InfiniumPsychArray-24v1-1_A1 (341)","9"
"InfiniumPsychArray-24v1-2_A1 (379)","9"
"InfiniumPsychArray-24v1-3_A1 (370)","9"
"Multi-EthnicAMR-AFR-8v1-0_A1 (685)","6"
"Multi-EthnicGlobal_A1 (885)","6"
"Multi-EthnicGlobal_D1 (822)","6"
"OncoArray-500K_B (136)","5"
"PsychArray_A (339)","9"
"PsychChip_v1-1_15073391_A1 (408)","9"
