"ArrayType","ClusterID","snp_num","cluster_mean","is_closest_to_mean","extreme_label"
"Axiom_APMRA (779)","1",779,273.428571428571,FALSE,"Highest"
"Axiom_GW_AFR (96)","2",96,97,TRUE,"Mean-ish"
"Axiom_GW_ASI (233)","3",233,257.5,FALSE,"Lowest"
"Axiom_GW_EAS (73)","2",73,97,FALSE,"Lowest"
"Axiom_GW_HuOrigin (255)","3",255,257.5,TRUE,"Mean-ish"
"Axiom_GW_LAT (120)","2",120,97,FALSE,"Highest"
"Axiom_GW_PanAFR (280)","3",280,257.5,FALSE,"Highest"
"Axiom_PMRA_r3 (170)","1",170,273.428571428571,TRUE,"Mean-ish"
"BDCHP-1X10-HUMANHAP240S_11216501_A (309)","4",309,171.125,FALSE,"Highest"
"BDCHP-1X10-HUMANHAP550_11218540_C (170)","4",170,171.125,TRUE,"Mean-ish"
"Consortium-OncoArray_15047405_A (143)","5",143,139.5,TRUE,"Highest"
"GenomeWideSNP_6 (411)","7",411,380.5,TRUE,"Mean-ish"
"GenomeWideSNP_6.na31 (455)","7",455,380.5,FALSE,"Highest"
"GenomeWideSNP_6.na33 (327)","7",327,380.5,FALSE,"Lowest"
"GSA-24v3-0_A2 (979)","6",979,964,TRUE,"Mean-ish"
"GSAMD-24v2-0_20024620_A1 (1229)","6",1229,964,FALSE,"Highest"
"HumanExome-12v1-1_A (216)","10",216,215.666666666667,TRUE,"Mean-ish"
"HumanOmni1-Quad_v1-0_B (24)","1",24,273.428571428571,FALSE,"Lowest"
"HumanOmni1S-8v1_H (85)","4",85,171.125,FALSE,"Lowest"
"HumanOmni2-5-8-v1-2-A (177)","8",177,177.2,TRUE,"Mean-ish"
"HumanOmni2-5Exome-8-v1-1-A (380)","9",380,381.571428571429,TRUE,"Mean-ish"
"HumanOmni5-4-v1-0-D (253)","8",253,177.2,FALSE,"Highest"
"HumanOmni5Exome-4v1_A (421)","9",421,381.571428571429,FALSE,"Highest"
"HumanOmniExpressExome-8-v1-0-B (227)","10",227,215.666666666667,FALSE,"Highest"
"InfiniumExome-24v1-1_A1 (207)","10",207,215.666666666667,FALSE,"Lowest"
"InfiniumOmniZhongHua-8v1-3_A1 (123)","8",123,177.2,FALSE,"Lowest"
"Multi-EthnicAMR-AFR-8v1-0_A1 (685)","6",685,964,FALSE,"Lowest"
"OncoArray-500K_B (136)","5",136,139.5,TRUE,"Lowest"
"PsychArray_A (339)","9",339,381.571428571429,FALSE,"Lowest"
