"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"A1a"	"A"	4	"A1"	"A"	"A"	"A"	"A"	"A"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"A5b*"	"A5b*"	0	"A5"	"A"	"A5"	"A"	"A"	"A"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B4d1"	"B4d1'2'3"	1	"B4"	"B"	"B4"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B6a"	"B6a"	0	"B6"	"B"	"B6"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C1a"	"C1a"	0	"C1"	"C"	"C1"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"D1a1"	"D1a1"	0	"D1"	"D"	"D1"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"D4e1a"	"D4e1a"	0	"D4"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"E1a1"	"E"	3	"E1"	"E"	"E"	"E"	"M9"	"M9"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"F4a1a"	"F4a1a"	0	"F4"	"F"	"F4"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"G1a1"	"G1a1"	0	"G1"	"G"	"G1"	"G"	"G"	"G"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"G2a1"	"M5a'd"	8	"G2"	"G"	"M5"	"M"	"G"	"M*"	"Axiom_APMRA"	0	0	0	0	"5. Mismatch"	"Axiom_APMRA"	TRUE
"H1a1a"	"H1a"	2	"H1"	"H"	"H1"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H2a2a1"	"H2a2a1"	0	"H2"	"H"	"H2"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"H3a"	"H3"	2	"H3"	"H"	"H3"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"J1b1a1"	"J1b1a"	1	"J1"	"J"	"J1"	"J"	"JT"	"JT"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"K1a9"	"K1"	3	"K1"	"K"	"K1"	"K"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L0a"	"L0a"	0	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L0a1+16293"	"L0a"	3	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L0a1a"	"L0a1a"	0	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
