"ArrayType" "ClusterID" "SNPs" "AUC_Normalized" "Mean_Distance" "n" "Tier" "Population" "Mean_Match_Score"
"Axiom_APMRA" 1 779 0.960311394340033 1.23034677545897 6373 "1. High" "P17_Fu1" 0.830338929860348
"Axiom_BioBank1" 1 101 0.545896751922172 14.0772006904127 6373 "4. Poor" "P17_Fu1" 0.128393221402793
"Axiom_GW_AFR" 2 96 0.666445640124922 10.3401851561274 6373 "4. Poor" "P17_Fu1" 0.259493174329201
"Axiom_GW_ASI" 2 233 0.790846464165861 6.48375961085831 6373 "3. Fair" "P17_Fu1" 0.416365918719598
"Axiom_GW_CHB2" 1 95 0.687289624069284 9.69402165385219 6373 "4. Poor" "P17_Fu1" 0.297858151576965
"Axiom_GW_EAS" 2 73 0.746298649038535 7.86474187980543 6373 "4. Poor" "P17_Fu1" 0.319355091793504
"Axiom_GW_EUR" 2 99 0.634450782788275 11.3320257335635 6373 "4. Poor" "P17_Fu1" 0.211870390710811
"Axiom_GW_Hu_SNP" 2 262 0.798585767577937 6.24384120508395 6373 "3. Fair" "P17_Fu1" 0.429546524399812
"Axiom_GW_HuOrigin" 2 255 0.822775519707638 5.49395888906324 6373 "3. Fair" "P17_Fu1" 0.479954495528009
"Axiom_GW_LAT" 2 120 0.677176394365342 10.0075317746744 6373 "4. Poor" "P17_Fu1" 0.279107170877138
"Axiom_GW_PanAFR" 2 280 0.829092492015205 5.29813274752864 6373 "3. Fair" "P17_Fu1" 0.501294523772164
"Axiom_PMDA" 1 714 0.964806163097341 1.09100894398243 6373 "1. High" "P17_Fu1" 0.842695747685548
"Axiom_PMRA_r3" 1 170 0.735355304383918 8.20398556409854 6373 "4. Poor" "P17_Fu1" 0.332182645535854
"Axiom_UKB_WCSG" 1 274 0.938601863709298 1.90334222501177 6373 "2. Good" "P17_Fu1" 0.78146085046289
"BDCHP-1X10-HUMANHAP240S_11216501_A" 1 309 0.962093104478065 1.17511376117998 6373 "1. High" "P17_Fu1" 0.837282284638318
"BDCHP-1X10-HUMANHAP550_11218540_C" 3 170 0.916780976194935 2.57978973795701 6373 "2. Good" "P17_Fu1" 0.7214812490193
"Cardio-Metabo_Chip_11395247_A" 4 130 0.861912402625998 4.28071551859407 6373 "2. Good" "P17_Fu1" 0.599442962498039
"Consortium-OncoArray_15047405_A" 1 143 0.879466296826835 3.73654479836812 6373 "2. Good" "P17_Fu1" 0.652989173073906
"GDA-8v1-0_A1" 5 1135 0.970581536016359 0.91197238349286 6373 "1. High" "P17_Fu1" 0.860505256551075
"GenomeWide_6-.58-v2" 6 329 0.919347246194885 2.50023536795858 6373 "2. Good" "P17_Fu1" 0.715597050054919
