"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"L3b2b"	"L3b2"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2c1"	"L2c"	1	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L0a1a2"	"L0a1a"	2	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1f3"	"L2a1'2'3'4"	4	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1b2"	"L1b"	2	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c1d"	"L1c1d"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L1b2"	"L1b"	2	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1a2"	"L2a1a"	1	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1f2"	"L2a1'2'3'4"	4	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3d3b"	"L3d3"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3d3b"	"L3d3"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1c3a"	"L2a1c3"	1	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e2a1b"	"L3e2a1b"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3b1a*1"	"L3b1a*1"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L2a1f"	"L2a1'2'3'4"	3	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1e1"	"L2a1e"	1	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2c"	"L2c"	0	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e1"	"L3e1"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L1c3a"	"L1c3a*2"	1	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e2a1a"	"L3e2a"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1b1a7"	"L1b1"	2	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c3a1a"	"L1c3a"	2	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1i"	"L2a1'2'3'4"	5	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c1d1"	"L1c1d"	1	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c1d1"	"L1c1d"	1	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e2a1a"	"L3e2a"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3e1a3b"	"L3e1a3"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c1c*2"	"L1c1c"	1	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1f"	"L2a1'2'3'4"	3	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c1a2b"	"L1c1a2b"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L1c1a2"	"L1c1a2"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"U6a3c"	"U6"	5	"U6"	"U"	"U6"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3d1b3"	"L3d1b3"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3b1a7a"	"L3b1"	4	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1b1a3b"	"L1b1a3b"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L0a1a+200"	"L0a1a"	1	"L0"	"L"	"L0"	"L"	"L0"	"L0"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L3k1"	"L3k"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2c3*1"	"L2c3*1"	0	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3d4"	"L3d"	2	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"C"	"C"	0	"C"	"C"	"C"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e2b3"	"L3e2b3"	0	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"L3e2b"	"L3e2"	1	"L3"	"L"	"L3"	"L"	"L3"	"L3"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L2a1l1a"	"L2a1'2'3'4"	6	"L2"	"L"	"L2"	"L"	"L2"	"L2"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"L1c2a1b"	"L1c2a1b"	0	"L1"	"L"	"L1"	"L"	"L1"	"L1"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
