"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"M7b1a1d"	"M7b1a1"	2	"M7"	"M"	"M7"	"M"	"M7"	"M7"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B5b2c1"	"B5b2c1"	0	"B5"	"B"	"B5"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"N9a10b"	"N9a10"	2	"N9"	"N"	"N9"	"N"	"N9"	"N9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"R9c1b1"	"R9c1b"	1	"R9"	"R"	"R9"	"R"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"F1a"	"F1"	2	"F1"	"F"	"F1"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M7c1c2"	"M7c1c"	1	"M7"	"M"	"M7"	"M"	"M7"	"M7"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B5a1c1a1*"	"B5a1c1a1*"	0	"B5"	"B"	"B5"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B4g2"	"B4g2"	0	"B4"	"B"	"B4"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"D4a7*"	"D4a7"	1	"D4"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"N9a8"	"N9a8"	0	"N9"	"N"	"N9"	"N"	"N9"	"N9"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"C4a1a2a"	"C4a1a2a"	0	"C4"	"C"	"C4"	"C"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"Z4a1a"	"Z4"	3	"Z4"	"Z"	"Z4"	"Z"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"F1e1"	"F1e1"	0	"F1"	"F"	"F1"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"F1e3"	"F1"	3	"F1"	"F"	"F1"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M8a2a1*"	"M8a2a1*"	0	"M8"	"M"	"M8"	"M"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"R9c1b1*"	"R9c1b"	2	"R9"	"R"	"R9"	"R"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B4b1"	"B4b"	1	"B4"	"B"	"B4"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M7b1a1e2"	"M7b1a1e2"	0	"M7"	"M"	"M7"	"M"	"M7"	"M7"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"R11"	"R11"	0	"R11"	"R"	"R11"	"R"	"R*"	"R*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"A14"	"A"	4	"A14"	"A"	"A"	"A"	"A"	"A"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"B4g1b"	"B4g1b"	0	"B4"	"B"	"B4"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"M33c"	"M33c"	0	"M33"	"M"	"M33"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"B5a1c1a"	"B5a1"	3	"B5"	"B"	"B5"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M20*"	"M20"	1	"M20"	"M"	"M20"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"F1a1c"	"F1a1c"	0	"F1"	"F"	"F1"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"F1c1a1b"	"F1c"	4	"F1"	"F"	"F1"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"D6a1a"	"D6a1"	1	"D6"	"D"	"D6"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"D5a2a1b"	"D5a2a1b"	0	"D5"	"D"	"D5"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"Z+152"	"Z"	1	"Z"	"Z"	"Z"	"Z"	"M8"	"M8"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"D4b2b4*"	"D4b2b4*"	0	"D4"	"D"	"D4"	"D"	"D"	"D"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"N9a1"	"N9a"	2	"N9"	"N"	"N9"	"N"	"N9"	"N9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"N9a1"	"N9a"	2	"N9"	"N"	"N9"	"N"	"N9"	"N9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M7b1a1a3"	"M7b1a1"	2	"M7"	"M"	"M7"	"M"	"M7"	"M7"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"R11b1a"	"R11b1"	1	"R11"	"R"	"R11"	"R"	"R*"	"R*"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M7b1a1+(16192)"	"M7b1a1"	1	"M7"	"M"	"M7"	"M"	"M7"	"M7"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M7b1a1+(16192)"	"M7b1a1"	1	"M7"	"M"	"M7"	"M"	"M7"	"M7"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"F1d"	"F1d"	0	"F1"	"F"	"F1"	"F"	"R9"	"R9"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"N9a4b1"	"N9a4"	2	"N9"	"N"	"N9"	"N"	"N9"	"N9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"N9a4b1"	"N9a4"	2	"N9"	"N"	"N9"	"N"	"N9"	"N9"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"B4d1'2'3"	"B4d1'2'3"	0	"B4"	"B"	"B4"	"B"	"B"	"B"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
