"hg1"	"hg2"	"distance"	"hg1_Hgsubgroup"	"hg1_oneletter"	"hg2_Hgsubgroup"	"hg2_oneletter"	"hg1_MacroPhylo"	"hg2_MacroPhylo"	"ArrayType"	"matched_subgroup"	"matched_oneletter"	"matched_macro"	"matched_haplogroup"	"matched_level"	"Group"	"InLegend"
"M3a2"	"M3a"	1	"M3"	"M"	"M3"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H2b"	"H2"	2	"H2"	"H"	"H2"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"H13a2a"	"H13a1a1d"	6	"H13"	"H"	"H13"	"H"	"HV"	"HV"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"R30a1b"	"R30a1"	1	"R30"	"R"	"R30"	"R"	"R*"	"R*"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M5a2a1a1"	"M5a2a1a1"	0	"M5"	"M"	"M5"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"HV2"	"HV+73"	1	"HV2"	"HV"	"HV"	"HV"	"HV"	"HV"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"HV2"	"HV+73"	1	"HV2"	"HV"	"HV"	"HV"	"HV"	"HV"	"Axiom_APMRA"	0	1	1	0	"3. One-letter"	"Axiom_APMRA"	TRUE
"M6a1b"	"M6a1b"	0	"M6"	"M"	"M6"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"U7a3a"	"U7a3"	1	"U7"	"U"	"U7"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"U7a3a"	"U7a3"	1	"U7"	"U"	"U7"	"U"	"UK"	"UK"	"Axiom_APMRA"	1	1	1	0	"2. Subgroup"	"Axiom_APMRA"	TRUE
"M39b1*1"	"M39b1*1"	0	"M39"	"M"	"M39"	"M"	"M*"	"M*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
"R6a2"	"R6a2"	0	"R6"	"R"	"R6"	"R"	"R*"	"R*"	"Axiom_APMRA"	1	1	1	1	"1. Haplogroup"	"Axiom_APMRA"	TRUE
