"hg1";"hg2";"distance"
"A";"A";"0"
"A+152";"A";"1"
"A+152+16362";"A+152+16362";"0"
"A+152+16362+16189";"A+152+16362";"1"
"A+152+16362+200";"A+152+16362";"1"
"A1";"A+152+16362";"1"
"A10";"A10";"0"
"A11";"A";"2"
"A11+16234";"A";"3"
"A11a";"A";"3"
"A11a*1";"A";"4"
"A11a*2";"A";"4"
"A11b";"A";"4"
"A11b*";"A";"5"
"A12";"A+152+16362";"2"
"A12a";"A12a";"0"
"A13";"A+152+16362";"2"
"A13*";"A+152+16362";"3"
"A14";"A+152+16362";"2"
"A14*";"A14*";"0"
"A15";"A15";"0"
"A15a";"A15";"1"
"A15a*";"A15";"2"
"A15b";"A15";"1"
"A15b*";"A15";"2"
"A15c";"A15";"1"
"A15c1";"A15c1";"0"
"A16";"A16";"0"
"A17";"A+152+16362";"1"
"A17*";"A17*";"0"
"A18";"A+152+16362";"1"
"A19";"A2a3";"4"
"A1a";"A+152+16362";"2"
"A1a1";"A+152+16362";"3"
"A2";"A+152+16362";"1"
"A2*1";"A+152+16362";"2"
"A2*2";"A2*2";"0"
"A2*3";"A2*3";"0"
"A2*4";"A+152+16362";"2"
"A2+(64)";"A+152+16362";"2"
"A2+(64)*1";"A+152+16362";"3"
"A2+(64)*2";"A2+(64)*2";"0"
"A2+(64)*3";"A+152+16362";"3"
"A2+(64)+16129";"A+152+16362";"3"
"A2+(64)+16129*";"A2+(64)+@153*1";"4"
"A2+(64)+16189";"A+152+16362";"3"
"A2+(64)+@153";"A+152+16362";"3"
"A2+(64)+@153*1";"A2+(64)+@153*1";"0"
"A2+(64)+@153*2";"A+152+16362";"4"
"A2+(64)+@16111";"A+152+16362";"3"
"A2+(64)+@16111*1";"A2a3";"5"
"A2+(64)+@16111*2";"A2+(64)+@16111*2";"0"
"A20";"A+152+16362";"1"
"A21";"A+152+16362";"1"
"A22";"A22";"0"
"A23";"A23";"0"
"A24";"A+152+16362";"1"
"A25";"A2a3";"4"
"A26";"A26";"0"
"A2a";"A+152+16362";"2"
"A2a1";"A2a1";"0"
"A2a2";"A+152+16362";"3"
"A2a3";"A2a3";"0"
"A2a4";"A+152+16362";"3"
"A2a5";"A";"5"
"A2aa";"A+152+16362";"3"
"A2ab";"A+152+16362";"3"
"A2ac";"A2w*";"3"
"A2ac*";"A2ac*";"0"
"A2ac1";"A2ac1";"0"
"A2ad";"A+152+16362";"3"
"A2ad1";"A2ad1";"0"
"A2ad2";"A+152+16362";"4"
"A2ae";"A+152+16362";"3"
"A2ae*1";"A2ae*1";"0"
"A2ae*2";"A+152+16362";"4"
"A2af";"A2af";"0"
"A2af1";"A2af";"1"
"A2af1a";"A2af";"2"
"A2af1a1";"A2af";"3"
"A2af1a2";"A2af";"3"
"A2af1b";"A2af";"2"
"A2af1b1";"A2af";"3"
"A2af1b1a";"A2af1b1a";"0"
"A2af1b1b";"A2af";"4"
"A2af1b2";"A2af";"3"
"A2af2";"A2af";"1"
"A2ag";"A+152+16362";"3"
"A2ah";"A+152+16362";"3"
"A2ai";"A+152+16362";"4"
"A2aj";"A2aj";"0"
"A2ak";"A+152+16362";"3"
"A2ak*";"A2a3";"5"
"A2al";"A2*2";"3"
"A2am";"A2am";"0"
"A2an";"A+152+16362";"3"
"A2an*";"A2an*";"0"
"A2ao";"A+152+16362";"4"
"A2ao1";"A2ao1";"0"
"A2ap";"A+152+16362";"4"
"A2aq";"A2aq";"0"
"A2b";"A+152+16362";"2"
"A2b1";"A+152+16362";"3"
"A2c";"A+152+16362";"3"
"A2d";"A+152+16362";"3"
"A2d*";"A+152+16362";"4"
"A2d1";"A+152+16362";"4"
"A2d1*";"A+152+16362";"5"
"A2d1a";"A+152+16362";"5"
"A2d2";"A+152+16362";"4"
"A2d2*";"A+152+16362";"5"
"A2e";"A2e";"0"
"A2f";"A+152+16362";"3"
"A2f1";"A2f1";"0"
"A2f1a";"A2f1";"1"
"A2f2";"A+152+16362";"4"
"A2f3";"A2f3";"0"
"A2f3*";"A2f3";"1"
"A2g";"A2g";"0"
"A2g*";"A2g";"1"
"A2g1";"A2g";"1"
"A2h";"A2h";"0"
"A2h*";"A2h";"1"
"A2h1";"A2h";"1"
"A2h1*";"A2h1*";"0"
"A2i";"A2i";"0"
"A2j";"A+152+16362";"3"
"A2j*";"A2k1";"4"
"A2j1";"A+152+16362";"4"
"A2k";"A+152+16362";"3"
"A2k*";"A2k*";"0"
"A2k1";"A2k1";"0"
"A2k1a";"A2k1";"1"
"A2l";"A+152+16362";"4"
"A2m";"A+152+16362";"4"
"A2m*1";"A2m*1";"0"
"A2m*2";"A+152+16362";"5"
"A2m*3";"A+152+16362";"5"
"A2n";"A+152+16362";"4"
"A2n*1";"A2n*1";"0"
"A2n*2";"A2n*2";"0"
"A2o";"A+152+16362";"4"
"A2o*";"A+152+16362";"5"
"A2p";"A+152+16362";"4"
"A2p1";"A+152+16362";"5"
"A2p2";"A2p2";"0"
"A2q";"A+152+16362";"3"
"A2q*";"A2q*";"0"
"A2q1";"A+152+16362";"4"
"A2q1*";"A+152+16362";"5"
"A2r";"A+152+16362";"2"
"A2r1";"A+152+16362";"3"
"A2s";"A2a3";"3"
"A2t";"A2t";"0"
"A2t*";"A2t*";"0"
"A2u";"A+152+16362";"3"
"A2u1";"A+152+16362";"4"
"A2u1*";"A2a3";"6"
"A2u2";"A+152+16362";"4"
"A2v";"A+152+16362";"3"
"A2v1";"A+152+16362";"4"
"A2v1+152";"A+152+16362";"5"
"A2v1+152*";"A2v1+152*";"0"
"A2v1a";"A+152+16362";"6"
"A2v1b";"A+152+16362";"6"
"A2v1b*";"A+152+16362";"7"
"A2w";"A+152+16362";"3"
"A2w*";"A2w*";"0"
"A2w1";"A+152+16362";"4"
"A2w1*1";"A+152+16362";"5"
"A2w1*1a";"A+152+16362";"6"
"A2w1*2";"A2w1*2";"0"
"A2x";"A2x";"0"
"A2x*";"A2x*";"0"
"A2y";"A+152+16362";"3"
"A2z";"A+152+16362";"2"
"A3";"A";"2"
"A3a";"A";"3"
"A5";"A";"1"
"A5a";"A";"2"
"A5a1";"A";"3"
"A5a1a";"A";"4"
"A5a1a1";"A5a1a1";"0"
"A5a1a1a";"A5a1a1";"1"
"A5a1a1b";"A5a1a1";"1"
"A5a1a2";"A";"5"
"A5a1a2a";"A";"6"
"A5a1b";"A";"4"
"A5a2";"A";"3"
"A5a3";"A";"3"
"A5a3a";"A";"4"
"A5a4";"A";"3"
"A5a5";"A";"3"
"A5b";"A";"2"
"A5b*";"A";"3"
"A5b1";"A5b1";"0"
"A5b1a";"A5b1";"1"
"A5b1a*";"A5b1a*";"0"
"A5b1b";"A5b1";"1"
"A5b1b*";"A5b1";"2"
"A5b1c";"A5b1";"1"
