"hg1";"hg2";"distance"
"A";"A";"0"
"A+152";"A";"1"
"A+152+16362";"A+152+16362";"0"
"A+152+16362+16189";"A+152+16362";"1"
"A+152+16362+200";"A+152+16362";"1"
"A1";"A1";"0"
"A10";"A10";"0"
"A11";"A";"2"
"A11+16234";"A11+16234";"0"
"A11a";"A11a";"0"
"A11a*1";"A11a";"1"
"A11a*2";"A11a";"1"
"A11b";"A11b";"0"
"A11b*";"A11b*";"0"
"A12";"A12";"0"
"A12a";"A12a";"0"
"A13";"A+152+16362";"2"
"A13*";"A13*";"0"
"A14";"A+152+16362";"2"
"A14*";"A14*";"0"
"A15";"A15";"0"
"A15a";"A15";"1"
"A15a*";"A15";"2"
"A15b";"A15b";"0"
"A15b*";"A15b";"1"
"A15c";"A15";"1"
"A15c1";"A15c1";"0"
"A16";"A+152+16362";"1"
"A17";"A17";"0"
"A17*";"A17*";"0"
"A18";"A18";"0"
"A19";"A+152+16362";"1"
"A1a";"A1a";"0"
"A1a1";"A1a";"1"
"A2";"A2";"0"
"A2*1";"A2";"1"
"A2*2";"A2*2";"0"
"A2*3";"A2";"1"
"A2*4";"A2*4";"0"
"A2+(64)";"A2";"1"
"A2+(64)*1";"A2+(64)*1";"0"
"A2+(64)*2";"A2+(64)*2";"0"
"A2+(64)*3";"A2+(64)*3";"0"
"A2+(64)+16129";"A2+(64)+16129";"0"
"A2+(64)+16129*";"A2+(64)+16129*";"0"
"A2+(64)+16189";"A2";"2"
"A2+(64)+@153";"A2";"2"
"A2+(64)+@153*1";"A2+(64)+@153*1";"0"
"A2+(64)+@153*2";"A2+(64)+@153*2";"0"
"A2+(64)+@16111";"A2";"2"
"A2+(64)+@16111*1";"A2";"3"
"A2+(64)+@16111*2";"A2+(64)+@16111*2";"0"
"A20";"A+152+16362";"1"
"A21";"A+152+16362";"1"
"A22";"A22";"0"
"A23";"A23";"0"
"A24";"A24";"0"
"A25";"A25";"0"
"A26";"A26";"0"
"A2a";"A2a";"0"
"A2a1";"A2a";"1"
"A2a2";"A2a";"1"
"A2a3";"A2a";"1"
"A2a4";"A2a4";"0"
"A2a5";"A2a5";"0"
"A2aa";"A2aa";"0"
"A2ab";"A2";"2"
"A2ac";"A2ac";"0"
"A2ac*";"A2ac*";"0"
"A2ac1";"A2ac";"1"
"A2ad";"A2";"2"
"A2ad1";"A2ad1";"0"
"A2ad2";"A2ad2";"0"
"A2ae";"A2";"2"
"A2ae*1";"A2ae*1";"0"
"A2ae*2";"A2";"3"
"A2af";"A2af";"0"
"A2af1";"A2af";"1"
"A2af1a";"A2af";"2"
"A2af1a1";"A2af";"3"
"A2af1a2";"A2af1a2";"0"
"A2af1b";"A2af1b";"0"
"A2af1b1";"A2af1b1";"0"
"A2af1b1a";"A2af1b1";"1"
"A2af1b1b";"A2af1b1";"1"
"A2af1b2";"A2af1b2";"0"
"A2af2";"A2af2";"0"
"A2ag";"A2";"2"
"A2ah";"A2";"2"
"A2ai";"A2";"3"
"A2aj";"A2aj";"0"
"A2ak";"A2ak";"0"
"A2ak*";"A2ak";"1"
"A2al";"A2al";"0"
"A2am";"A2am";"0"
"A2an";"A2";"2"
"A2an*";"A2an*";"0"
"A2ao";"A2";"3"
"A2ao1";"A2ao1";"0"
"A2ap";"A2";"3"
"A2aq";"A2aq";"0"
"A2b";"A2b";"0"
"A2b1";"A2b1";"0"
"A2c";"A2";"2"
"A2d";"A2d";"0"
"A2d*";"A2d";"1"
"A2d1";"A2d1";"0"
"A2d1*";"A2d1*";"0"
"A2d1a";"A2d1";"1"
"A2d2";"A2d";"1"
"A2d2*";"A2d";"2"
"A2e";"A2";"3"
"A2f";"A2f";"0"
"A2f1";"A2f1";"0"
"A2f1a";"A2f1";"1"
"A2f2";"A2f";"1"
"A2f3";"A2f3";"0"
"A2f3*";"A2f3*";"0"
"A2g";"A2g";"0"
"A2g*";"A2g*";"0"
"A2g1";"A2g1";"0"
"A2h";"A2";"2"
"A2h*";"A2h*";"0"
"A2h1";"A2h1";"0"
"A2h1*";"A2h1*";"0"
"A2i";"A2i";"0"
"A2j";"A2";"2"
"A2j*";"A2j*";"0"
"A2j1";"A2j1";"0"
"A2k";"A2";"2"
"A2k*";"A2k*";"0"
"A2k1";"A2k1";"0"
"A2k1a";"A2k1a";"0"
"A2l";"A2l";"0"
"A2m";"A2m";"0"
"A2m*1";"A2m*1";"0"
"A2m*2";"A2m*2";"0"
"A2m*3";"A2m*3";"0"
"A2n";"A2n";"0"
"A2n*1";"A2n*1";"0"
"A2n*2";"A2n";"1"
"A2o";"A2";"3"
"A2o*";"A2o*";"0"
"A2p";"A2+(64)+16129";"1"
"A2p1";"A2+(64)+16129";"2"
"A2p2";"A2+(64)+16129";"2"
"A2q";"A2";"2"
"A2q*";"A2q*";"0"
"A2q1";"A2q1";"0"
"A2q1*";"A2q1*";"0"
"A2r";"A2";"1"
"A2r1";"A2r1";"0"
"A2s";"A2s";"0"
"A2t";"A2";"2"
"A2t*";"A2t*";"0"
"A2u";"A2u";"0"
"A2u1";"A2u";"1"
"A2u1*";"A2u";"2"
"A2u2";"A2u";"1"
"A2v";"A2v";"0"
"A2v1";"A2v";"1"
"A2v1+152";"A2v";"2"
"A2v1+152*";"A2v1+152*";"0"
"A2v1a";"A2v";"3"
"A2v1b";"A2v1b";"0"
"A2v1b*";"A2v1b";"1"
"A2w";"A2";"2"
"A2w*";"A2w*";"0"
"A2w1";"A2";"3"
"A2w1*1";"A2w1*1";"0"
"A2w1*1a";"A2w1*1";"1"
"A2w1*2";"A2";"4"
"A2x";"A2k1";"3"
"A2x*";"A2x*";"0"
"A2y";"A2";"2"
"A2z";"A2";"1"
"A3";"A3";"0"
"A3a";"A3";"1"
"A5";"A5";"0"
"A5a";"A5";"1"
"A5a1";"A5";"2"
"A5a1a";"A5";"3"
"A5a1a1";"A5a1a1";"0"
"A5a1a1a";"A5a1a1";"1"
"A5a1a1b";"A5a1a1";"1"
"A5a1a2";"A5";"4"
"A5a1a2a";"A5a1a2a";"0"
"A5a1b";"A5";"3"
"A5a2";"A5";"2"
"A5a3";"A5";"2"
"A5a3a";"A5";"3"
"A5a4";"A5";"2"
"A5a5";"A5";"2"
"A5b";"A5";"1"
"A5b*";"A5";"2"
"A5b1";"A5b1";"0"
"A5b1a";"A5b1";"1"
"A5b1a*";"A5b1a*";"0"
"A5b1b";"A5b1b";"0"
"A5b1b*";"A5b1b*";"0"
"A5b1c";"A5b1";"1"
"A5b1c1";"A5b1c1";"0"
"A5c";"A5c";"0"
"A5c1";"A5c";"1"
"A6";"A+152+16362";"1"
"A6a";"A+152+16362";"2"
"A6b";"A6b";"0"
"A7";"A7";"0"
"A8";"A";"1"
"A8a";"A";"2"
"A8a1";"A8a1";"0"
