hg1;hg2
A;A
A+152;A
A+152+16362;A
A+152+16362+16189;A
A+152+16362+200;A
A1;A1
A10;A10
A11;A
A11+16234;A
A11a;A11a
A11a*1;A11a
A11a*2;A11a
A11b;A11b
A11b*;A11b*
A12;A12
A12a;A12
A13;A
A13*;A13*
A14;A
A14*;A
A15;A15
A15a;A15
A15a*;A15a*
A15b;A15
A15b*;A15
A15c;A15
A15c1;A15c1
A16;A16
A17;A17
A17*;A17*
A18;A
A19;A
A1a;A1
A1a1;A1
A2;A2
A2*1;A2
A2*2;A2
A2*3;A2*3
A2*4;A2
A2+(64);A2
A2+(64)*1;A2+(64)*1
A2+(64)*2;A2+(64)*2
A2+(64)*3;A2+(64)*3
A2+(64)+16129;A2
A2+(64)+16129*;A2+(64)+16129*
A2+(64)+16189;A2
A2+(64)+@153;A2
A2+(64)+@153*1;A2+(64)+@153*1
A2+(64)+@153*2;A2
A2+(64)+@16111;A2
A2+(64)+@16111*1;A2
A2+(64)+@16111*2;A2+(64)+@16111*2
A20;A
A21;A
A22;A
A23;A
A24;A24
A25;A
A26;A26
A2a;A2
A2a1;A2
A2a2;A2
A2a3;A2
A2a4;A2a4
A2a5;A2
A2aa;A2
A2ab;A2
A2ac;A2ac
A2ac*;A2ac*
A2ac1;A2ac
A2ad;A2
A2ad1;A2ad1
A2ad2;A2
A2ae;A2ae
A2ae*1;A2ae*1
A2ae*2;A2ae
A2af;A2a4
A2af1;A2a4
A2af1a;A2a4
A2af1a1;A2a4
A2af1a2;A2af1a2
A2af1b;A2a4
A2af1b1;A2af1b1
A2af1b1a;A2af1b1
A2af1b1b;A2af1b1
A2af1b2;A2af1b2
A2af2;A2a4
A2ag;A2
A2ah;A2
A2ai;A2
A2aj;A2aj
A2ak;A2
A2ak*;A2
A2al;A2al
A2am;A2am
A2an;A2
A2an*;A2an*
A2ao;A2
A2ao1;A2ao1
A2ap;A2
A2aq;A2aq
A2b;A2b
A2b1;A2b
A2c;A2u1*
A2d;A2d
A2d*;A2d
A2d1;A2d
A2d1*;A2d1*
A2d1a;A2d1a
A2d2;A2d
