MapLocus	Position(np)	Start	Stop	Shorthand	Description	Coding	Translated	length
MT-DLOOP2	1-576	1	576	D-Loop	Displacement loop	-	-	576
MT-TF	577-647	577	647	F	tRNA phenylanine	coding	-	71
MT-RNR1	648-1601	648	1601	12S	12S ribosomal RNA	coding	-	954
MT-TV	1602-1670	1602	1670	V	tRNA valine	coding	-	69
MT-RNR2	1671-3228	1671	3228	16S	16S ribosomal RNA	coding	-	1558
MT-TL1	3230-3304	3230	3304	L(UUA/G)	tRNA leucine 1	coding	-	75
MT-ND1	3307-4262	3307	4262	ND1	NADH Dehydrogenase subunit 1	coding	F	956
MT-TI	4263-4331	4263	4331	I	tRNA isoleucine	coding	-	69
MT-TQ	4329-4400	4329	4400	Q	tRNA glutamine	coding	-	72
MT-TM	4402-4469	4402	4469	M	tRNA methionine	coding	-	68
MT-ND2	4470-5511	4470	5511	ND2	NADH dehydrogenase subunit 2	coding	F	1042
MT-TW	5512-5579	5512	5579	W	tRNA tryptophan	coding	-	68
MT-TA	5587-5655	5587	5655	A	tRNA alanine	coding	-	69
MT-TN	5657-5729	5657	5729	N	tRNA asparagine	coding	-	73
MT-TC	5761-5826	5761	5826	C	tRNA cysteine	coding	-	66
MT-TY	5826-5891	5826	5891	Y	tRNA tyrosine	coding	-	66
MT-CO1	5904-7445	5904	7445	COI	Cytochrome c oxidase subunit I	coding	F	1542
MT-TS1	7446-7516	7446	7516	S(UCN)	tRNA serine 1	coding	-	71
MT-TD	7518-7585	7518	7585	D	tRNA aspartic acid	coding	-	68
MT-CO2	7586-8269	7586	8269	COII	Cytochrome c oxidase subunit II	coding	F	684
MT-TK	8295-8364	8295	8364	K	tRNA lysine	coding	-	70
MT-ATP8	8366-8572	8366	8572	ATPase8	ATP synthase F0 subunit 8	coding	F	207
MT-ATP6	8527-9207	8527	9207	ATPase6	ATP synthase F0 subunit 6	coding	F	681
MT-CO3	9207-9990	9207	9990	COIII	Cytochrome c oxidase subunit III	coding	F	784
MT-TG	9991-10058	9991	10058	G	tRNA glycine	coding	-	68
MT-ND3	10059-10404	10059	10404	ND3	NADH dehydrogenase subunit 3	coding	F	346
MT-TR	10405-10469	10405	10469	R	tRNA arginine	coding	-	65
MT-ND4L	10470-10766	10470	10766	ND4L	NADH dehydrogenase subunit 4L	coding	F	297
MT-ND4	10760-12137	10760	12137	ND4	NADH dehydrogenase subunit 4	coding	F	1378
MT-TH	12138-12206	12138	12206	H	tRNA histidine	coding	-	69
MT-TS2	12207-12265	12207	12265	S(AGY)	tRNA serine2	coding	-	59
MT-TL2	12266-12336	12266	12336	L(CUN)	tRNA leucine2	coding	-	71
MT-ND5	12337-14148	12337	14148	ND5	NADH dehydrogenase subunit 5	coding	F	1812
MT-ND6	14149-14673	14149	14673	ND6	NADH dehydrogenase subunit 6	coding	R	525
MT-TE	14674-14742	14674	14742	E	tRNA glutamic acid	coding	-	69
MT-CYB	14747-15887	14747	15887	Cytb	Cytochrome b	coding	F	1141
MT-TT	15888-15953	15888	15953	T	tRNA threonine	coding	-	66
MT-TP	15955-16023	15955	16023	P	tRNA proline	coding	-	69
MT-DLOOP1	16024-16569	16024	16569	D-Loop	Displacement loop	-	-	546
					other noncoding	-	-	19
